y,p,r,flex1,flex2,flex3,flex4,x
7.36,172.92,-162.55,1020.00,1023.00,1023.00,994.00,130
7.60,178.66,-160.29,1020.00,1023.00,1023.00,992.00,131
8.04,-177.62,-160.16,1004.00,1023.00,1023.00,993.00,132
9.08,-175.37,-159.87,1023.00,1023.00,1023.00,993.00,133
9.64,-173.71,-159.79,1023.00,1023.00,1023.00,997.00,134
9.52,-173.26,-160.91,1023.00,1023.00,1023.00,997.00,135
9.86,-173.25,-161.93,1023.00,1023.00,1023.00,998.00,136
9.58,-173.86,-163.11,1008.00,1023.00,1023.00,1023.00,137
8.91,-174.68,-164.43,1006.00,1023.00,1023.00,1023.00,138
9.08,-175.80,-164.92,1006.00,1023.00,1023.00,1023.00,139
8.84,-178.31,-166.21,1000.00,1023.00,1023.00,1023.00,140
8.18,177.53,-168.08,971.00,1023.00,1023.00,1023.00,141
-2.60,0.24,-3.71,1023.00,1023.00,1023.00,1023.00,142
-2.59,0.25,-3.60,1023.00,1023.00,1023.00,1023.00,143
-2.58,0.24,-3.50,1023.00,1023.00,1023.00,1023.00,144
-2.56,0.22,-3.40,1023.00,1023.00,1023.00,1023.00,145
-2.51,0.15,-3.31,1023.00,1023.00,1023.00,1023.00,146
-2.33,-0.14,-3.27,1023.00,1023.00,1023.00,1023.00,147
-2.05,-1.07,-3.43,1023.00,1023.00,1023.00,1023.00,148
-1.86,-2.86,-3.46,1023.00,1022.00,1022.00,1022.00,149
-1.86,-5.62,-3.20,1023.00,1023.00,1023.00,1023.00,150
-1.59,-9.19,-3.27,1023.00,1023.00,1023.00,1023.00,151
-0.62,-12.97,-4.60,1023.00,1023.00,1023.00,1023.00,152
1.58,-16.66,-7.83,1023.00,1023.00,1023.00,1023.00,153
5.06,-20.55,-13.17,1023.00,1023.00,1023.00,1023.00,154
10.07,-23.70,-20.89,1023.00,1023.00,1023.00,1023.00,155
16.12,-25.20,-30.55,1023.00,1023.00,1023.00,1023.00,156
22.74,-23.30,-41.32,1023.00,1023.00,1023.00,1023.00,157
29.27,-16.52,-51.74,1023.00,1023.00,1023.00,1023.00,158
34.54,-6.07,-60.22,1023.00,1023.00,1023.00,1023.00,159
36.48,5.60,-68.06,995.00,1023.00,1023.00,1023.00,160
33.47,16.39,-77.62,972.00,1023.00,1023.00,1023.00,161
27.83,25.23,-88.03,967.00,1023.00,1023.00,1023.00,162
21.74,147.44,-98.69,954.00,1023.00,1023.00,1023.00,163
14.09,141.98,-110.57,953.00,1023.00,1023.00,1023.00,164
6.91,138.55,-121.72,953.00,1023.00,1023.00,1023.00,165
4.01,136.95,-128.32,935.00,1023.00,1023.00,1023.00,166
4.27,136.09,-131.15,938.00,1022.00,1023.00,1023.00,167
5.28,135.80,-132.95,937.00,1023.00,1022.00,1022.00,168
6.31,135.52,-134.57,953.00,1023.00,1023.00,1023.00,169
