y,p,r,flex1,flex2,flex3,flex4,x
-0.92,2.93,-6.10,1023.00,1023.00,1022.00,1022.00,224
0.61,5.84,-12.04,1023.00,1000.00,1023.00,1023.00,225
2.56,8.20,-19.53,1023.00,977.00,1012.00,1016.00,226
4.59,9.47,-28.58,1023.00,995.00,1021.00,1021.00,227
6.43,9.31,-37.25,1023.00,1007.00,1021.00,1016.00,228
7.72,8.99,-45.20,1023.00,1023.00,956.00,1001.00,229
8.92,9.01,-52.18,1019.00,1012.00,848.00,903.00,230
8.97,8.53,-57.11,1023.00,955.00,757.00,883.00,231
8.18,7.62,-61.13,1023.00,887.00,702.00,787.00,232
6.54,6.23,-65.08,1023.00,889.00,635.00,775.00,233
3.73,3.72,-67.92,1023.00,939.00,619.00,740.00,234
-0.19,0.53,-70.14,1023.00,815.00,634.00,759.00,235
-3.37,-2.30,-71.33,1023.00,813.00,667.00,763.00,236
-6.67,-5.32,-70.94,1023.00,808.00,679.00,781.00,237
-8.94,-7.68,-70.56,1020.00,811.00,698.00,785.00,238
-9.60,-8.23,-70.19,1020.00,813.00,722.00,796.00,239
-9.78,-8.30,-70.55,1021.00,814.00,718.00,785.00,240
-10.18,-8.69,-70.42,1022.00,840.00,719.00,761.00,241
-9.78,-8.50,-70.29,1021.00,851.00,721.00,782.00,242
-8.68,-7.53,-70.21,1021.00,852.00,726.00,781.00,243
-6.83,-5.87,-70.92,1020.00,850.00,722.00,782.00,244
-2.84,-2.31,-71.27,1020.00,855.00,722.00,778.00,245
3.70,3.60,-70.92,1019.00,870.00,706.00,761.00,246
13.08,11.79,-70.77,1023.00,887.00,723.00,772.00,247
25.25,22.17,-67.90,1023.00,885.00,755.00,792.00,248
38.89,33.66,-58.45,1006.00,892.00,759.00,796.00,249
51.27,44.86,-47.78,1014.00,893.00,789.00,786.00,250
61.28,52.80,-33.80,1008.00,896.00,798.00,813.00,251
68.39,55.41,-18.29,1008.00,902.00,799.00,808.00,252
73.00,55.64,-6.70,990.00,909.00,798.00,811.00,253
75.36,55.17,-1.67,987.00,910.00,797.00,819.00,254
76.26,54.20,0.59,988.00,928.00,797.00,818.00,255
77.01,53.96,2.25,989.00,939.00,790.00,816.00,256
76.90,54.22,1.61,986.00,944.00,791.00,818.00,257
76.72,54.37,1.47,988.00,950.00,789.00,817.00,258
76.63,54.74,1.78,990.00,947.00,789.00,820.00,259
75.98,55.56,0.08,989.00,952.00,786.00,814.00,260
74.97,56.75,-2.29,1023.00,952.00,788.00,822.00,261
72.63,58.37,-6.84,1023.00,952.00,779.00,825.00,262
64.09,57.74,-22.11,1023.00,939.00,794.00,789.00,263
43.86,47.37,-49.14,1023.00,930.00,784.00,771.00,264
13.36,18.32,-67.81,1020.00,929.00,832.00,756.00,265
-12.56,-11.95,-77.45,1018.00,917.00,891.00,790.00,266
-11.59,-10.69,-74.72,1020.00,920.00,855.00,824.00,267
-11.76,-9.25,-72.80,1020.00,917.00,819.00,845.00,268
-10.21,-8.94,-77.75,1020.00,916.00,851.00,789.00,269
-10.09,-8.94,-77.51,1020.00,922.00,842.00,782.00,270
-9.49,-7.90,-75.42,1019.00,921.00,847.00,766.00,271
-9.52,-8.39,-77.30,1020.00,914.00,853.00,767.00,272
-9.82,-8.69,-77.59,1020.00,908.00,850.00,764.00,273
-9.32,-7.98,-77.00,1021.00,900.00,855.00,763.00,274
-9.51,-8.44,-78.00,1019.00,905.00,855.00,764.00,275
-9.69,-8.70,-78.49,1020.00,904.00,857.00,770.00,276
-8.73,-7.67,-78.71,1020.00,904.00,854.00,768.00,277
-8.47,-7.62,-79.87,1020.00,903.00,857.00,772.00,278
-8.58,-7.80,-80.32,1020.00,902.00,857.00,778.00,279
-7.88,-7.14,-80.39,1020.00,927.00,863.00,784.00,280
-6.90,-6.32,-80.90,1023.00,945.00,870.00,809.00,281
-5.68,-3.53,3.67,1023.00,1023.00,1023.00,1023.00,282
-5.67,-3.54,3.69,1023.00,1023.00,1023.00,1023.00,283
-5.67,-3.55,3.70,1023.00,1023.00,1023.00,1023.00,284
-5.65,-3.56,3.72,1023.00,1023.00,1023.00,1023.00,285
-5.64,-3.54,3.71,1023.00,1023.00,1023.00,1023.00,286
-5.62,-3.51,3.70,1023.00,1023.00,1023.00,1023.00,287
-5.57,-3.49,3.68,1023.00,1023.00,1023.00,1023.00,288
-5.48,-3.41,3.57,1023.00,1023.00,1023.00,1023.00,289
-5.27,-3.20,3.27,1023.00,1023.00,1023.00,1023.00,290
-4.84,-2.79,2.67,1023.00,1023.00,1023.00,1023.00,291
-4.37,-2.19,1.67,1023.00,1023.00,1023.00,1023.00,292
-3.70,-1.24,0.09,1023.00,1023.00,1023.00,1023.00,293
-2.99,-0.04,-2.55,1023.00,1023.00,1023.00,1023.00,294
-1.96,1.30,-6.77,1023.00,1022.00,1023.00,1023.00,295
-0.34,3.08,-12.81,1023.00,1001.00,1022.00,1022.00,296
1.66,5.64,-20.24,1023.00,1002.00,1023.00,1023.00,297
3.58,7.33,-29.52,1023.00,1000.00,1021.00,1021.00,298
5.52,8.46,-39.59,1023.00,986.00,1015.00,1013.00,299
6.87,8.47,-48.65,1020.00,1009.00,966.00,1004.00,300
8.44,9.17,-54.58,1023.00,1023.00,859.00,980.00,301
9.57,9.56,-57.81,1023.00,998.00,781.00,875.00,302
10.28,10.22,-60.22,1023.00,943.00,728.00,849.00,303
10.57,10.55,-62.23,1023.00,880.00,683.00,752.00,304
9.96,10.16,-63.56,1023.00,907.00,620.00,695.00,305
8.19,8.81,-64.58,1023.00,861.00,611.00,719.00,306
5.23,6.47,-64.99,1022.00,881.00,631.00,718.00,307
1.38,3.76,-64.82,1023.00,892.00,654.00,727.00,308
-4.23,-0.36,-62.98,1023.00,938.00,661.00,716.00,309
-5.65,-1.67,-63.51,1023.00,988.00,727.00,720.00,310
-6.08,-2.26,-63.47,1023.00,989.00,729.00,708.00,311
-5.53,-1.86,-63.94,1023.00,988.00,723.00,710.00,312
-5.39,-1.77,-63.89,1023.00,990.00,722.00,710.00,313
-5.13,-1.47,-64.15,1023.00,1017.00,722.00,706.00,314
-5.06,-1.56,-64.79,1023.00,1017.00,725.00,712.00,315
-4.48,-1.27,-65.57,1023.00,1018.00,729.00,719.00,316
-1.90,0.86,-66.63,1023.00,997.00,732.00,727.00,317
2.66,4.82,-67.11,1023.00,994.00,715.00,738.00,318
10.67,11.62,-67.87,1023.00,995.00,715.00,780.00,319
22.35,21.28,-67.40,1000.00,1023.00,719.00,797.00,320
36.62,33.47,-59.75,996.00,1023.00,718.00,810.00,321
51.05,45.04,-46.98,1005.00,1023.00,717.00,825.00,322
62.88,54.70,-31.29,1014.00,1023.00,723.00,834.00,323
71.49,57.93,-11.48,1018.00,1023.00,732.00,838.00,324
77.67,56.80,5.73,1023.00,1023.00,731.00,851.00,325
80.84,55.59,13.21,1023.00,1023.00,735.00,852.00,326
82.98,55.07,17.01,1023.00,1023.00,739.00,854.00,327
83.87,54.52,18.57,1023.00,1023.00,751.00,863.00,328
83.80,54.29,18.52,1023.00,1023.00,755.00,861.00,329
84.24,54.84,19.39,1023.00,1023.00,756.00,861.00,330
84.02,55.11,19.10,1023.00,1023.00,757.00,859.00,331
83.25,55.88,17.53,1023.00,1023.00,759.00,860.00,332
82.31,57.68,15.29,1023.00,1023.00,760.00,861.00,333
79.24,60.43,8.46,1023.00,1023.00,760.00,853.00,334
70.13,61.25,-12.07,1023.00,1023.00,770.00,856.00,335
53.90,54.61,-41.44,1022.00,1023.00,753.00,876.00,336
27.82,33.39,-64.50,1023.00,1023.00,745.00,825.00,337
1.47,6.04,-70.96,1020.00,1023.00,783.00,830.00,338
-4.90,-0.52,-70.51,1019.00,1023.00,791.00,846.00,339
-6.17,-0.07,-67.60,1020.00,1023.00,775.00,854.00,340
-4.30,0.71,-71.00,1020.00,1023.00,788.00,832.00,341
-4.74,-0.49,-71.97,1019.00,1023.00,802.00,837.00,342
-5.13,-1.49,-72.48,1019.00,1023.00,809.00,840.00,343
-5.04,-1.66,-73.20,1020.00,1023.00,807.00,839.00,344
-5.32,-2.50,-74.64,1020.00,1023.00,803.00,840.00,345
-5.44,-2.58,-74.65,1020.00,1023.00,804.00,856.00,346
-4.71,-1.92,-75.31,1020.00,1023.00,812.00,864.00,347
-4.63,-2.10,-76.35,1020.00,1023.00,814.00,867.00,348
-4.76,-2.00,-75.90,1020.00,1023.00,812.00,865.00,349
