y,p,r,flex1,flex2,flex3,flex4,x
-15.78,107.56,-150.34,1023.00,1023.00,1023.00,1023.00,175
-15.61,107.29,-151.20,1023.00,1023.00,1023.00,1022.00,176
-15.15,106.96,-152.05,1023.00,1023.00,1023.00,1023.00,177
-14.55,106.88,-152.61,1023.00,1023.00,1023.00,1023.00,178
-13.48,107.11,-153.97,1023.00,1023.00,1023.00,1023.00,179
-11.59,107.49,-154.96,1023.00,1023.00,1023.00,1023.00,180
-10.28,107.69,-155.17,1023.00,1023.00,1023.00,1023.00,181
-9.74,107.55,-156.78,1023.00,1002.00,1022.00,989.00,182
-8.28,107.59,-157.77,1023.00,979.00,980.00,931.00,183
-7.43,107.33,-158.10,1023.00,935.00,906.00,830.00,184
-5.28,107.50,-157.68,1019.00,898.00,869.00,777.00,185
-3.58,107.55,-158.58,1012.00,877.00,858.00,782.00,186
-4.23,108.04,-161.46,1010.00,892.00,820.00,709.00,187
-6.43,107.96,-165.46,1011.00,870.00,823.00,707.00,188
-7.04,108.13,-169.45,1011.00,847.00,816.00,734.00,189
-6.96,108.44,-171.82,1015.00,844.00,822.00,753.00,190
-6.05,108.26,-172.32,1018.00,846.00,852.00,757.00,191
-5.71,108.35,-173.05,1021.00,850.00,858.00,742.00,192
-6.79,108.45,-174.97,1022.00,879.00,850.00,743.00,193
-8.54,108.56,-176.38,1023.00,877.00,837.00,757.00,194
-9.16,108.87,-177.43,1020.00,883.00,838.00,757.00,195
-9.82,109.21,-178.01,1017.00,904.00,868.00,768.00,196
-10.58,109.13,-177.75,1017.00,842.00,917.00,799.00,197
-10.42,108.85,-177.66,1018.00,861.00,981.00,883.00,198
-9.18,108.10,-176.76,1020.00,899.00,993.00,1004.00,199
-8.23,106.76,-173.54,1023.00,1001.00,1023.00,1023.00,200
-7.98,105.51,-167.77,1017.00,1023.00,1023.00,1023.00,201
-4.60,104.85,-166.68,1017.00,1023.00,1023.00,1002.00,202
-4.86,103.95,-169.21,1023.00,1014.00,1022.00,972.00,203
-7.08,103.26,-168.28,1023.00,1016.00,1023.00,1003.00,204
-4.94,103.60,-169.70,1023.00,1012.00,1023.00,1021.00,205
-3.59,103.90,-171.33,1023.00,982.00,1023.00,1023.00,206
-5.03,103.83,-173.12,1023.00,985.00,1023.00,1023.00,207
-5.44,104.21,-174.21,1023.00,988.00,1023.00,1023.00,208
-4.60,104.57,-175.85,1023.00,987.00,1023.00,1023.00,209
-5.11,104.60,-176.99,1023.00,987.00,1023.00,1023.00,210
-4.98,104.85,-178.12,1023.00,993.00,1022.00,1023.00,211
-3.25,-3.39,-8.23,1023.00,1023.00,1023.00,1023.00,212
-3.25,-3.35,-7.99,1023.00,1023.00,1023.00,1023.00,213
-3.25,-3.32,-7.77,1023.00,1023.00,1023.00,1023.00,214
-3.23,-3.30,-7.53,1023.00,1023.00,1023.00,1023.00,215
-3.22,-3.27,-7.32,1023.00,1023.00,1023.00,1023.00,216
-3.21,-3.22,-7.11,1023.00,1023.00,1022.00,1023.00,217
-3.20,-3.19,-6.92,1023.00,1023.00,1023.00,1023.00,218
-3.21,-3.19,-6.74,1023.00,1023.00,1023.00,1023.00,219
-3.18,-3.26,-6.49,1023.00,1023.00,1023.00,1023.00,220
-2.86,-3.50,-6.38,1023.00,1023.00,1023.00,1022.00,221
-2.18,-3.90,-6.53,1023.00,1023.00,1023.00,1023.00,222
-1.56,-4.67,-7.74,1023.00,1023.00,1023.00,1023.00,223
-0.53,-5.38,-10.75,1023.00,1023.00,1023.00,1023.00,224
1.73,-6.22,-15.83,1023.00,1023.00,1023.00,1023.00,225
5.25,-6.52,-21.53,1023.00,1023.00,1023.00,1023.00,226
8.83,-5.93,-27.81,1023.00,1023.00,1023.00,1023.00,227
12.59,-4.23,-34.01,1023.00,1023.00,1023.00,1023.00,228
16.99,-1.44,-40.20,1023.00,1022.00,1023.00,1023.00,229
21.77,2.29,-46.60,1023.00,1023.00,1023.00,1023.00,230
25.98,6.52,-54.78,1023.00,1023.00,1023.00,1023.00,231
29.27,11.39,-63.95,1023.00,1023.00,1023.00,1023.00,232
32.25,17.31,-71.88,1023.00,1022.00,1023.00,1023.00,233
35.29,23.88,-77.88,1023.00,1023.00,1023.00,1023.00,234
37.99,30.59,-82.98,1023.00,1023.00,1023.00,1023.00,235
38.58,35.97,-87.78,1023.00,1023.00,1023.00,1023.00,236
38.27,138.57,-92.39,1023.00,1023.00,1023.00,1023.00,237
37.09,132.91,-96.71,1023.00,1023.00,1023.00,1023.00,238
31.87,127.43,-102.64,1023.00,1023.00,1023.00,1023.00,239
18.74,122.02,-110.80,1023.00,1023.00,1023.00,1023.00,240
-1.19,118.50,-118.36,1023.00,1023.00,1023.00,1023.00,241
-10.62,116.28,-124.32,1023.00,1023.00,1023.00,1023.00,242
-12.42,114.98,-128.36,1023.00,1023.00,1023.00,1023.00,243
-10.65,114.24,-130.10,1023.00,1023.00,1023.00,1023.00,244
-7.72,113.58,-131.33,1023.00,1023.00,1023.00,1023.00,245
-8.01,112.80,-133.06,1023.00,1023.00,1023.00,1023.00,246
-9.34,112.16,-134.56,1023.00,1023.00,1023.00,1023.00,247
-8.19,111.69,-135.74,1023.00,1023.00,1023.00,1023.00,248
-7.90,111.12,-137.40,1023.00,1023.00,1023.00,1023.00,249
-8.75,110.71,-139.16,1023.00,1023.00,1023.00,1023.00,250
-7.80,110.77,-140.06,1023.00,1023.00,1023.00,1023.00,251
-6.19,110.60,-140.77,1023.00,1023.00,1023.00,1023.00,252
-6.48,110.31,-142.29,1023.00,1023.00,1023.00,1002.00,253
-6.45,110.15,-143.07,1023.00,1010.00,1004.00,952.00,254
-4.29,110.19,-142.92,1023.00,997.00,944.00,903.00,255
-2.30,110.23,-142.77,1023.00,956.00,903.00,844.00,256
-2.48,110.22,-144.46,1011.00,995.00,891.00,792.00,257
-3.91,110.18,-146.81,1013.00,907.00,879.00,753.00,258
-5.66,110.14,-149.01,1013.00,896.00,870.00,727.00,259
-6.85,110.48,-151.27,1011.00,886.00,867.00,729.00,260
-7.87,110.58,-154.47,1013.00,898.00,871.00,730.00,261
-9.20,110.52,-156.43,1023.00,891.00,877.00,745.00,262
-8.84,110.62,-157.25,1023.00,882.00,894.00,739.00,263
-8.37,110.72,-158.37,1023.00,895.00,883.00,739.00,264
-9.26,110.57,-159.50,1023.00,898.00,881.00,749.00,265
-9.16,110.75,-160.74,1023.00,936.00,892.00,787.00,266
-8.88,110.81,-161.85,1023.00,936.00,907.00,798.00,267
-9.14,110.77,-163.50,1021.00,936.00,936.00,803.00,268
-8.36,111.23,-166.01,1018.00,927.00,967.00,806.00,269
-7.05,111.20,-166.48,1018.00,949.00,990.00,834.00,270
-5.45,110.49,-164.53,1019.00,945.00,1023.00,963.00,271
-5.27,109.88,-162.86,1018.00,964.00,1022.00,1023.00,272
-5.03,109.15,-161.78,1020.00,1023.00,1023.00,1023.00,273
-5.66,108.46,-159.94,1023.00,1023.00,1023.00,1010.00,274
-3.65,108.11,-159.06,1023.00,1023.00,1023.00,1000.00,275
-1.88,107.48,-161.53,1023.00,1023.00,1023.00,985.00,276
-3.52,107.15,-162.47,1023.00,1023.00,1023.00,1023.00,277
-3.70,107.22,-163.45,1023.00,1023.00,1023.00,991.00,278
-2.80,107.46,-165.03,1023.00,1023.00,1023.00,1023.00,279
-3.90,107.21,-166.24,1023.00,1023.00,1021.00,1023.00,280
-4.68,107.26,-167.23,1023.00,1023.00,1023.00,1023.00,281
0,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,281
-0.43,-3.47,-8.64,1023.00,1023.00,1023.00,1023.00,282
-0.43,-3.45,-8.36,1023.00,1023.00,1023.00,1023.00,283
-0.42,-3.43,-8.10,1023.00,1023.00,1023.00,1023.00,284
-0.41,-3.40,-7.86,1023.00,1023.00,1023.00,1023.00,285
-0.38,-3.37,-7.62,1023.00,1023.00,1023.00,1023.00,286
-0.32,-3.36,-7.40,1023.00,1023.00,1023.00,1023.00,287
-0.13,-3.53,-7.18,1023.00,1023.00,1023.00,1023.00,288
0.50,-4.08,-6.83,1023.00,1023.00,1023.00,1023.00,289
1.49,-4.74,-6.97,1023.00,1023.00,1023.00,1023.00,290
2.50,-5.46,-8.54,1023.00,1023.00,1023.00,1023.00,291
4.16,-6.51,-11.84,1023.00,1023.00,1023.00,1023.00,292
7.16,-7.61,-17.32,1023.00,1023.00,1023.00,1023.00,293
11.40,-8.38,-25.21,1023.00,1023.00,1023.00,1023.00,294
16.05,-7.79,-34.12,1023.00,1023.00,1023.00,1023.00,295
20.44,-6.05,-43.08,1023.00,1023.00,1023.00,1023.00,296
24.40,-3.14,-51.62,1023.00,1023.00,1023.00,1023.00,297
28.13,1.05,-59.59,1023.00,1022.00,1023.00,1023.00,298
31.45,6.43,-66.68,1023.00,1023.00,1023.00,1023.00,299
36.41,12.97,-71.24,1023.00,971.00,1023.00,1023.00,300
42.49,19.63,-74.23,1023.00,950.00,1023.00,973.00,301
48.07,25.55,-76.33,1023.00,948.00,1023.00,979.00,302
53.47,30.99,-78.31,1023.00,962.00,1023.00,961.00,303
59.01,36.66,-80.52,1023.00,966.00,1023.00,981.00,304
63.62,42.46,-82.79,1002.00,973.00,1023.00,1001.00,305
64.42,48.63,-85.74,1014.00,1007.00,1023.00,1023.00,306
53.20,125.50,-90.29,1023.00,1023.00,1023.00,1023.00,307
26.62,120.34,-96.67,1023.00,1023.00,1023.00,1023.00,308
-6.13,116.20,-105.20,1023.00,1023.00,1023.00,1023.00,309
-20.37,113.43,-114.46,1023.00,1023.00,1023.00,1023.00,310
-21.17,112.05,-123.97,1023.00,1023.00,1023.00,1023.00,311
-20.48,111.42,-131.58,1023.00,1023.00,1023.00,1023.00,312
-19.95,111.14,-137.19,1023.00,1023.00,1023.00,1023.00,313
-20.41,110.95,-140.60,1023.00,1023.00,1023.00,1023.00,314
-18.45,110.90,-143.06,1023.00,1023.00,1023.00,1023.00,315
-17.36,110.55,-144.36,1023.00,1023.00,1023.00,1023.00,316
-17.37,110.08,-144.11,1023.00,1023.00,1022.00,1023.00,317
-17.34,109.67,-143.71,1023.00,1023.00,1023.00,1023.00,318
-16.69,109.34,-143.56,1023.00,1023.00,1023.00,1023.00,319
-17.41,108.84,-143.33,1023.00,1023.00,1023.00,1023.00,320
-18.07,108.55,-143.04,1023.00,1023.00,1023.00,1022.00,321
-16.06,108.62,-142.26,1023.00,1023.00,1023.00,1023.00,322
-13.62,108.42,-142.01,1023.00,1023.00,1023.00,1023.00,323
-12.46,108.18,-141.91,1017.00,1023.00,979.00,1007.00,324
-11.10,107.81,-142.10,1017.00,1023.00,974.00,937.00,325
-11.13,107.36,-141.72,1018.00,960.00,913.00,840.00,326
-8.83,107.27,-141.72,1019.00,961.00,871.00,752.00,327
-7.13,107.00,-142.79,1018.00,911.00,820.00,752.00,328
-6.75,106.98,-144.08,1018.00,856.00,835.00,718.00,329
-7.76,107.01,-147.75,1017.00,920.00,853.00,717.00,330
-10.50,107.07,-151.89,1019.00,912.00,849.00,732.00,331
-11.42,107.28,-154.33,1019.00,915.00,852.00,751.00,332
-11.51,107.22,-155.37,1020.00,900.00,859.00,761.00,333
-11.48,107.37,-156.65,1018.00,896.00,857.00,781.00,334
-12.58,107.30,-158.16,1016.00,897.00,856.00,797.00,335
-13.27,107.08,-158.62,1023.00,925.00,863.00,792.00,336
-11.85,107.38,-159.20,1022.00,916.00,892.00,818.00,337
-12.07,107.29,-159.71,1018.00,918.00,925.00,898.00,338
-13.22,107.11,-160.35,1023.00,919.00,978.00,960.00,339
-11.78,107.63,-160.93,1023.00,933.00,995.00,1023.00,340
-9.54,108.11,-160.32,1023.00,1023.00,1022.00,1023.00,341
-7.98,108.33,-158.62,1023.00,1023.00,1022.00,1023.00,342
-6.29,108.27,-158.17,1023.00,1023.00,1023.00,1003.00,343
-7.23,107.81,-160.10,1023.00,1023.00,1023.00,1002.00,344
-8.87,107.30,-160.94,1023.00,1023.00,1023.00,986.00,345
-8.10,107.39,-162.42,1023.00,1023.00,1023.00,1023.00,346
-8.08,107.44,-163.85,1023.00,1023.00,1023.00,1023.00,347
-8.73,107.34,-165.50,1023.00,1023.00,1023.00,1023.00,348
-8.99,107.43,-167.10,1023.00,1023.00,1023.00,1023.00,349
-8.36,107.51,-168.50,1023.00,1023.00,1023.00,1023.00,350
-8.33,107.39,-169.67,1023.00,1023.00,1023.00,1023.00,351
-0.20,-1.23,-1.61,1023.00,1023.00,1023.00,1023.00,352
-0.20,-1.23,-1.51,1023.00,1023.00,1023.00,1023.00,353
-0.16,-1.22,-1.43,1023.00,1023.00,1023.00,1023.00,354
-0.02,-1.25,-1.43,1023.00,1023.00,1023.00,1023.00,355
0.28,-1.51,-1.79,1023.00,1023.00,1023.00,1023.00,356
0.85,-2.08,-2.63,1023.00,1023.00,1023.00,1023.00,357
1.75,-2.75,-3.47,1023.00,1023.00,1023.00,1022.00,358
2.91,-3.59,-5.21,1023.00,1023.00,1023.00,1023.00,359
4.62,-4.75,-9.13,1023.00,1023.00,1023.00,1023.00,360
7.64,-6.42,-16.16,1023.00,1023.00,1023.00,1023.00,361
11.44,-8.11,-25.75,1023.00,1023.00,1023.00,1023.00,362
15.24,-8.40,-35.60,1023.00,1023.00,1023.00,1023.00,363
